Frame,Pixel Count
GMG,0
MOG,0
MOG2,82944
KNN,82944
CNT,82944
GMG,0
MOG,502
MOG2,3304
KNN,82944
CNT,82944
GMG,0
MOG,1013
MOG2,3120
KNN,82903
CNT,82944
GMG,0
MOG,1162
MOG2,2817
KNN,82864
CNT,82944
GMG,0
MOG,1209
MOG2,3071
KNN,6558
CNT,82944
GMG,0
MOG,1685
MOG2,2684
KNN,5993
CNT,82944
GMG,0
MOG,2268
MOG2,5092
KNN,6924
CNT,82944
GMG,0
MOG,2176
MOG2,2785
KNN,6853
CNT,82944
GMG,0
MOG,2086
MOG2,2829
KNN,6493
CNT,82944
GMG,0
MOG,2362
MOG2,2797
KNN,6193
CNT,82944
GMG,82944
MOG,1893
MOG2,3677
KNN,7104
CNT,82944
GMG,3619
MOG,2398
MOG2,6130
KNN,8476
CNT,82944
GMG,5592
MOG,2613
MOG2,5346
KNN,8514
CNT,82944
GMG,7926
MOG,2581
MOG2,3756
KNN,8921
CNT,82944
GMG,5309
MOG,2625
MOG2,3998
KNN,9159
CNT,82944
GMG,4911
MOG,2867
MOG2,4562
KNN,9151
CNT,11208
GMG,6629
MOG,3239
MOG2,6613
KNN,9737
CNT,11970
GMG,5979
MOG,2892
MOG2,6395
KNN,9373
CNT,11952
GMG,5481
MOG,3100
MOG2,6027
KNN,9111
CNT,12099
GMG,4094
MOG,3064
MOG2,4866
KNN,8680
CNT,12008
GMG,3775
MOG,2994
MOG2,5644
KNN,8376
CNT,12116
GMG,4869
MOG,3530
MOG2,6997
KNN,9480
CNT,12363
GMG,4743
MOG,3468
MOG2,6723
KNN,9422
CNT,12280
GMG,4321
MOG,3382
MOG2,6443
KNN,9378
CNT,12234
GMG,4236
MOG,3515
MOG2,6827
KNN,9504
CNT,12284
GMG,3425
MOG,3215
MOG2,6868
KNN,9395
CNT,12260
GMG,4672
MOG,3481
MOG2,7294
KNN,9697
CNT,12489
GMG,3723
MOG,3392
MOG2,6864
KNN,9512
CNT,12179
GMG,3427
MOG,3487
MOG2,6396
KNN,9307
CNT,12043
GMG,2601
MOG,3478
MOG2,5656
KNN,9103
CNT,11919
GMG,2373
MOG,3398
MOG2,5608
KNN,8878
CNT,11736
GMG,3686
MOG,3743
MOG2,6340
KNN,9524
CNT,11788
GMG,3300
MOG,3528
MOG2,5935
KNN,9285
CNT,11481
GMG,3175
MOG,3533
MOG2,6033
KNN,9201
CNT,11419
GMG,2762
MOG,3695
MOG2,6250
KNN,9045
CNT,11372
GMG,2681
MOG,3681
MOG2,6150
KNN,8855
CNT,11301
GMG,3550
MOG,3830
MOG2,6782
KNN,8985
CNT,11363
GMG,3118
MOG,3878
MOG2,6794
KNN,8879
CNT,11104
GMG,2695
MOG,3876
MOG2,6506
KNN,8801
CNT,11085
GMG,2236
MOG,3704
MOG2,6637
KNN,8776
CNT,11034
GMG,1921
MOG,3790
MOG2,6558
KNN,8978
CNT,10875
GMG,3130
MOG,3974
MOG2,7158
KNN,9135
CNT,10930
GMG,2795
MOG,3941
MOG2,7105
KNN,9123
CNT,10635
GMG,2898
MOG,4006
MOG2,7255
KNN,9112
CNT,10563
GMG,2364
MOG,4059
MOG2,7181
KNN,9132
CNT,10516
GMG,2248
MOG,4081
MOG2,7332
KNN,9136
CNT,10496
GMG,3271
MOG,4133
MOG2,7894
KNN,9302
CNT,10477
GMG,3179
MOG,4241
MOG2,7962
KNN,9344
CNT,10351
GMG,2778
MOG,4223
MOG2,7992
KNN,9252
CNT,10260
GMG,2881
MOG,4246
MOG2,8624
KNN,9414
CNT,10288
GMG,2685
MOG,4265
MOG2,8565
KNN,9398
CNT,10279
GMG,3744
MOG,4446
MOG2,9146
KNN,9919
CNT,10364
GMG,3134
MOG,4423
MOG2,9241
KNN,10006
CNT,10227
GMG,3036
MOG,4477
MOG2,9373
KNN,10083
CNT,10172
GMG,2379
MOG,4432
MOG2,9429
KNN,10082
CNT,10138
GMG,2272
MOG,4456
MOG2,9604
KNN,10240
CNT,10103
GMG,3408
MOG,4727
MOG2,10260
KNN,10503
CNT,10202
GMG,3195
MOG,4723
MOG2,10066
KNN,10530
CNT,10122
GMG,3387
MOG,4762
MOG2,10211
KNN,10481
CNT,10169
GMG,2828
MOG,4803
MOG2,10148
KNN,10449
CNT,10166
GMG,2475
MOG,4784
MOG2,10104
KNN,10349
CNT,10092
GMG,3567
MOG,4832
MOG2,10529
KNN,10614
CNT,10112
GMG,3038
MOG,4840
MOG2,10422
KNN,10560
CNT,10047
GMG,2675
MOG,4832
MOG2,10342
KNN,10526
CNT,10038
GMG,2331
MOG,4844
MOG2,10356
KNN,10648
CNT,10032
GMG,2174
MOG,4789
MOG2,10349
KNN,10517
CNT,9953
GMG,3259
MOG,4856
MOG2,10857
KNN,10526
CNT,9933
GMG,3064
MOG,4853
MOG2,10879
KNN,10549
CNT,9864
GMG,2740
MOG,4826
MOG2,10817
KNN,10570
CNT,9851
GMG,2300
MOG,4852
MOG2,10750
KNN,10591
CNT,9845
GMG,2227
MOG,4837
MOG2,10718
KNN,10588
CNT,9894
GMG,3577
MOG,5054
MOG2,11326
KNN,10941
CNT,10114
GMG,3518
MOG,5051
MOG2,11343
KNN,11151
CNT,10154
GMG,3390
MOG,5122
MOG2,11336
KNN,11120
CNT,10210
GMG,3255
MOG,5117
MOG2,11814
KNN,11306
CNT,10246
GMG,2954
MOG,5173
MOG2,11612
KNN,11318
CNT,10224
GMG,3904
MOG,5292
MOG2,11840
KNN,11467
CNT,10226
GMG,3404
MOG,5279
MOG2,11805
KNN,11458
CNT,10153
GMG,3250
MOG,5278
MOG2,11718
KNN,11411
CNT,10167
GMG,2537
MOG,5350
MOG2,11620
KNN,11342
CNT,10185
GMG,2532
MOG,5388
MOG2,11538
KNN,11319
CNT,10169
GMG,3359
MOG,5593
MOG2,11803
KNN,11559
CNT,10275
GMG,3288
MOG,5629
MOG2,11654
KNN,11552
CNT,10266
GMG,3199
MOG,5588
MOG2,11698
KNN,11563
CNT,10222
GMG,2724
MOG,5556
MOG2,11730
KNN,11657
CNT,10211
GMG,2707
MOG,5590
MOG2,11712
KNN,11647
CNT,10184
GMG,3684
MOG,5691
MOG2,12077
KNN,11812
CNT,10270
GMG,3528
MOG,5612
MOG2,11951
KNN,11778
CNT,10238
GMG,3385
MOG,5594
MOG2,11780
KNN,11768
CNT,10153
GMG,2535
MOG,5585
MOG2,11700
KNN,11683
CNT,10105
GMG,2364
MOG,5528
MOG2,11624
KNN,11664
CNT,10035
GMG,3229
MOG,5561
MOG2,11699
KNN,11776
CNT,9972
GMG,2749
MOG,5504
MOG2,11559
KNN,11740
CNT,9960
GMG,2354
MOG,5467
MOG2,11419
KNN,11589
CNT,9917
GMG,1874
MOG,5458
MOG2,11318
KNN,11528
CNT,9899
GMG,1916
MOG,5448
MOG2,11228
KNN,11437
CNT,9945
GMG,3101
MOG,5589
MOG2,11425
KNN,11405
CNT,10077
GMG,3065
MOG,5603
MOG2,11328
KNN,11317
CNT,9993
GMG,2925
MOG,5637
MOG2,11268
KNN,11286
CNT,10026
GMG,2952
MOG,5647
MOG2,11518
KNN,11267
CNT,10073
GMG,2662
MOG,5556
MOG2,11383
KNN,11267
CNT,9996
GMG,3929
MOG,5589
MOG2,12011
KNN,11469
CNT,9950
GMG,3268
MOG,5617
MOG2,11878
KNN,11464
CNT,9901
GMG,3094
MOG,5604
MOG2,11751
KNN,11338
CNT,9841
GMG,2472
MOG,5602
MOG2,11668
KNN,11219
CNT,9742
GMG,2332
MOG,5598
MOG2,11609
KNN,11028
CNT,9713
GMG,2833
MOG,5630
MOG2,11411
KNN,10796
CNT,9599
GMG,2587
MOG,5677
MOG2,11436
KNN,10794
CNT,9617
GMG,2487
MOG,5752
MOG2,11568
KNN,10741
CNT,9638
GMG,2155
MOG,5760
MOG2,11609
KNN,10738
CNT,9643
GMG,2041
MOG,5748
MOG2,11697
KNN,10733
CNT,9595
GMG,3020
MOG,5822
MOG2,11633
KNN,10678
CNT,9463
GMG,2801
MOG,5790
MOG2,11781
KNN,10661
CNT,9398
GMG,2555
MOG,5795
MOG2,11819
KNN,10664
CNT,9342
GMG,1894
MOG,5671
MOG2,11710
KNN,10672
CNT,9192
GMG,1829
MOG,5545
MOG2,11542
KNN,10569
CNT,9026
GMG,2640
MOG,5494
MOG2,11799
KNN,10612
CNT,8934
GMG,2937
MOG,5420
MOG2,11549
KNN,10448
CNT,8819
GMG,2299
MOG,5310
MOG2,11478
KNN,10362
CNT,8745
GMG,1710
MOG,5216
MOG2,11413
KNN,10295
CNT,8699
GMG,1590
MOG,5056
MOG2,11031
KNN,10093
CNT,8476
GMG,1920
MOG,5056
MOG2,11396
KNN,10146
CNT,8410
GMG,1828
MOG,4993
MOG2,11123
KNN,10046
CNT,8321
GMG,1600
MOG,4989
MOG2,11028
KNN,9937
CNT,8242
GMG,1809
MOG,4958
MOG2,11211
KNN,10076
CNT,8292
GMG,1774
MOG,4917
MOG2,11122
KNN,10063
CNT,8214
GMG,2699
MOG,4839
MOG2,10968
KNN,9936
CNT,8020
GMG,2089
MOG,4749
MOG2,10784
KNN,9942
CNT,7942
GMG,1812
MOG,4691
MOG2,10644
KNN,9962
CNT,7874
GMG,1364
MOG,4616
MOG2,10541
KNN,9863
CNT,7832
GMG,1122
MOG,4543
MOG2,10253
KNN,9796
CNT,7783
GMG,1927
MOG,4510
MOG2,10236
KNN,9661
CNT,7713
GMG,1483
MOG,4467
MOG2,10054
KNN,9535
CNT,7644
GMG,1315
MOG,4401
MOG2,9925
KNN,9433
CNT,7579
GMG,915
MOG,4369
MOG2,9751
KNN,9327
CNT,7560
GMG,988
MOG,4351
MOG2,9610
KNN,9287
CNT,7500
GMG,1616
MOG,4295
MOG2,9604
KNN,9119
CNT,7393
GMG,1457
MOG,4265
MOG2,9545
KNN,9088
CNT,7352
GMG,1477
MOG,4275
MOG2,9567
KNN,9151
CNT,7369
GMG,1104
MOG,4223
MOG2,9525
KNN,9113
CNT,7367
GMG,1043
MOG,4192
MOG2,9400
KNN,9067
CNT,7368
GMG,2011
MOG,4088
MOG2,9378
KNN,9105
CNT,7292
GMG,1511
